genes;problemName;maxVal
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
123;Knapsacks;9147
