genes;method;hyperVolume;IGD;lastUpdateTime;lastUpdateIteration;LastUpdateFFE
123;skrajni2_turniej;356;32.594569287938;0.013952;26;2860
123;skrajni1_turniej;396;32.7231341572447;0.0468435;91;9437
123;skrajni2;391;32.2204243348925;0.0169446;33;3749
123;skrajni1;403;33.4393527132867;0.1415284;271;30908
123;default;403;33.4393527132867;0.504315;1081;122812
123;skrajni2_turniej;443;33.5679175825934;0.0099636;20;2117
123;skrajni1_turniej;491;34.4886042523165;0.0139547;28;2895
123;skrajni2;310;31.8347297269725;0.030897;61;6974
123;skrajni1;491;34.4886042523165;0.0159472;26;3037
123;default;403;33.4393527132867;1.9395172;4100;465408
123;skrajni2_turniej;396;32.7231341572447;0.0149502;33;3462
123;skrajni1_turniej;221;30.4611212387648;1.1720809;2480;256519
123;skrajni2;484;33.8250473212067;0.0109639;21;2422
123;skrajni1;265;31.1187424299203;1.6534732;3223;366377
123;default;403;33.4393527132867;4.4840073;9644;1093802
123;skrajni2_turniej;437;32.980263895858;0.0149485;33;3463
123;skrajni1_turniej;484;33.8250473212067;0.0079728;17;1780
123;skrajni2;396;32.7231341572447;2.1338672;4426;502994
123;skrajni1;484;33.8250473212067;0.0119606;20;2297
123;default;403;33.4393527132867;0.0877076;188;21217
123;skrajni2_turniej;391;32.2204243348925;0.0089697;21;2139
123;skrajni1_turniej;442;33.1794764152299;1.7481563;3760;386511
123;skrajni2;305;31.247307299227;0.0179403;38;4374
123;skrajni1;265;31.1187424299203;1.673406;3269;371164
123;default;451;34.3600393830098;0.0538196;103;11748
